date,value
2021-12-10,1034.73
2021-12-13,1038.47
2021-12-14,1038.0
2021-12-15,1040.57
2021-12-16,1039.8
2021-12-17,1040.81
2021-12-20,1042.01
2021-12-21,1047.04
2021-12-22,1044.67
2021-12-23,1043.68
2021-12-24,1037.48
2021-12-27,1037.06
2021-12-28,1032.6
2021-12-29,1033.76
2021-12-30,1032.14
2021-12-31,1030.24
2022-01-03,1029.57
2022-01-04,1032.38
2022-01-05,1027.93
2022-01-06,1032.09
2022-01-07,1035.43
2022-01-10,1039.82
2022-01-11,1041.44
2022-01-12,1036.56
2022-01-13,1037.99
2022-01-14,1040.41
2022-01-17,1038.7
2022-01-18,1040.36
2022-01-19,1037.48
2022-01-20,1041.97
2022-01-21,1044.16
2022-01-24,1049.36
2022-01-25,1047.5
2022-01-26,1051.62
2022-01-27,1043.36
2022-01-28,1042.8
2022-02-03,1053.75
2022-02-04,1048.4
2022-02-07,1040.19
2022-02-08,1042.37
2022-02-09,1035.94
2022-02-10,1035.09
2022-02-11,1030.46
2022-02-14,1038.57
2022-02-15,1037.22
2022-02-16,1036.63
2022-02-17,1036.77
2022-02-18,1042.45
2022-02-21,1041.25
2022-02-22,1042.45
2022-02-23,1038.33
2022-02-24,1037.19
2022-02-25,1038.76
2022-02-28,1041.52
2022-03-02,1049.49
2022-03-03,1043.52
2022-03-04,1042.21
2022-03-07,1054.17
2022-03-08,1062.65
2022-03-10,1065.56
2022-03-11,1057.81
2022-03-14,1048.9
2022-03-15,1047.22
2022-03-16,1049.49
2022-03-17,1043.89
2022-03-18,1029.82
2022-03-21,1015.38
2022-03-22,1015.1
2022-03-23,1007.71
2022-03-24,1001.61
2022-03-25,996.53
2022-03-28,995.79
2022-03-29,988.27
2022-03-30,992.48
2022-03-31,992.74
2022-04-01,993.88
2022-04-04,991.64
2022-04-05,991.0
2022-04-06,981.11
2022-04-07,984.14
2022-04-08,981.47
2022-04-11,984.2
2022-04-12,982.03
2022-04-13,985.69
2022-04-14,977.82
2022-04-15,971.55
2022-04-18,971.91
2022-04-19,969.45
2022-04-20,956.06
2022-04-21,967.13
2022-04-22,963.42
2022-04-25,964.61
2022-04-26,974.03
2022-04-27,980.79
2022-04-28,982.92
2022-04-29,970.16
2022-05-02,973.35
2022-05-03,972.23
2022-05-04,972.75
2022-05-06,968.94
2022-05-09,973.87
2022-05-10,977.57
2022-05-11,978.48
2022-05-12,982.95
2022-05-13,1000.58
2022-05-16,993.86
2022-05-17,993.3
2022-05-18,986.67
2022-05-19,988.98
2022-05-20,997.61
2022-05-23,992.69
2022-05-24,991.79
2022-05-25,996.57
2022-05-26,992.97
2022-05-27,996.5
2022-05-30,988.01
2022-05-31,975.61
2022-06-02,951.41
2022-06-03,963.31
2022-06-07,940.19
2022-06-08,947.0
2022-06-09,934.18
2022-06-10,935.4
2022-06-13,939.97
2022-06-14,957.88
2022-06-15,953.32
2022-06-16,963.12
2022-06-17,968.73
2022-06-20,952.4
2022-06-21,955.93
2022-06-22,945.63
2022-06-23,951.78
2022-06-24,964.66
2022-06-27,961.27
2022-06-28,949.87
2022-06-29,944.26
2022-06-30,946.45
2022-07-01,957.18
2022-07-04,957.14
2022-07-05,955.43
2022-07-06,957.05
2022-07-07,960.93
2022-07-08,958.11
2022-07-11,954.0
2022-07-12,947.1
2022-07-13,959.06
2022-07-14,949.99
2022-07-15,942.24
2022-07-18,956.19
2022-07-19,953.51
2022-07-20,951.34
2022-07-21,946.14
2022-07-22,956.17
2022-07-25,962.26
2022-07-26,960.47
2022-07-27,957.15
2022-07-28,962.57
2022-07-29,970.53
2022-08-01,973.43
2022-08-02,993.08
2022-08-03,981.57
2022-08-04,977.66
2022-08-05,986.22
2022-08-08,961.91
2022-08-09,967.06
2022-08-10,965.77
2022-08-11,985.29
2022-08-12,979.21
2022-08-16,979.22
2022-08-17,975.46
2022-08-18,969.32
2022-08-19,969.71
2022-08-22,968.75
2022-08-23,973.34
2022-08-24,981.82
2022-08-25,978.09
2022-08-26,978.95
2022-08-29,965.89
2022-08-30,971.35
2022-08-31,970.65
2022-09-01,966.34
2022-09-02,964.29
2022-09-05,966.34
2022-09-06,974.98
2022-09-07,956.05
2022-09-08,961.25
2022-09-13,968.07
2022-09-14,948.69
2022-09-15,973.25
2022-09-16,972.58
2022-09-19,975.54
2022-09-20,969.83
2022-09-21,967.17
2022-09-22,965.8
2022-09-23,989.15
2022-09-26,981.53
2022-09-27,988.8
2022-09-28,985.43
2022-09-29,995.67
2022-09-30,993.25
2022-10-04,991.38
2022-10-05,993.58
2022-10-06,982.08
2022-10-07,968.58
2022-10-11,968.31
2022-10-12,982.96
2022-10-13,974.88
2022-10-14,968.87
2022-10-17,961.67
2022-10-18,964.1
2022-10-19,955.82
2022-10-20,948.11
2022-10-21,953.42
2022-10-24,962.03
2022-10-25,965.39
2022-10-26,969.92
2022-10-27,975.58
2022-10-28,969.91
2022-10-31,961.19
2022-11-01,956.97
2022-11-02,960.9
2022-11-03,958.33
2022-11-04,959.39
2022-11-07,967.85
2022-11-08,959.12
2022-11-09,952.75
2022-11-10,934.22
2022-11-11,966.39
2022-11-14,954.74
2022-11-15,942.84
2022-11-16,950.31
2022-11-17,950.8
2022-11-18,954.3
2022-11-21,955.2
2022-11-22,951.96
2022-11-23,960.37
2022-11-24,969.63
2022-11-25,961.18
2022-11-28,952.31
2022-11-29,964.18
2022-11-30,959.54
2022-12-01,957.74
2022-12-02,961.74
2022-12-05,966.59
2022-12-06,945.63
2022-12-07,955.93
2022-12-08,967.13
2022-12-09,966.3
2022-12-12,955.75
2022-12-13,952.35
2022-12-14,963.05
2022-12-15,956.74
2022-12-16,944.43
2022-12-19,961.58
2022-12-20,950.89
2022-12-21,983.74
2022-12-22,972.45
2022-12-23,963.68
2022-12-26,965.4
2022-12-27,961.04
2022-12-28,950.18
2022-12-29,945.19
2022-12-30,953.18
2023-01-02,968.55
2023-01-03,971.93
2023-01-04,970.77
2023-01-05,962.62
2023-01-06,952.14
2023-01-09,958.55
2023-01-10,945.94
2023-01-11,938.72
2023-01-12,942.09
2023-01-13,962.46
2023-01-16,969.86
2023-01-17,961.92
2023-01-18,965.69
2023-01-19,962.99
2023-01-20,962.35
2023-01-25,948.92
2023-01-26,953.21
2023-01-27,946.68
2023-01-30,947.51
2023-01-31,942.22
2023-02-01,946.15
2023-02-02,957.06
2023-02-03,947.47
2023-02-06,931.18
2023-02-07,940.34
2023-02-08,957.94
2023-02-09,957.32
2023-02-10,960.79
2023-02-13,961.48
2023-02-14,962.43
2023-02-15,954.06
2023-02-16,955.27
2023-02-17,957.16
2023-02-20,966.34
2023-02-21,965.07
2023-02-22,960.07
2023-02-23,966.67
2023-02-24,965.78
2023-02-27,953.69
2023-02-28,967.36
2023-03-02,969.39
2023-03-03,958.49
2023-03-06,960.22
2023-03-07,954.19
2023-03-08,946.87
2023-03-09,961.66
2023-03-10,969.26
2023-03-13,988.26
2023-03-14,980.9
2023-03-15,971.81
2023-03-16,977.73
2023-03-17,983.4
2023-03-20,987.09
2023-03-21,996.0
2023-03-22,988.62
2023-03-23,994.94
2023-03-24,984.21
2023-03-27,986.27
2023-03-28,989.54
2023-03-29,991.4
2023-03-30,979.09
2023-03-31,981.44
2023-04-03,972.71
2023-04-04,995.27
2023-04-05,995.03
2023-04-06,1001.34
2023-04-07,999.77
2023-04-10,999.36
2023-04-11,988.28
2023-04-12,987.32
2023-04-13,995.34
2023-04-14,994.15
2023-04-17,970.1
2023-04-18,975.27
2023-04-19,984.07
2023-04-20,978.66
2023-04-21,989.6
2023-04-24,990.86
2023-04-25,993.7
2023-04-26,997.42
2023-04-27,1001.61
2023-04-28,1000.63
2023-05-02,974.0
2023-05-03,982.34
2023-05-04,995.21
2023-05-08,980.87
2023-05-09,979.52
2023-05-10,978.22
2023-05-11,987.36
2023-05-12,981.85
2023-05-15,982.21
2023-05-16,983.57
2023-05-17,979.29
2023-05-18,973.44
2023-05-19,962.0
2023-05-22,967.34
2023-05-23,951.9
2023-05-24,946.59
2023-05-25,946.31
2023-05-26,945.72
2023-05-30,943.72
2023-05-31,945.98
2023-06-01,950.01
2023-06-02,951.75
2023-06-05,934.02
2023-06-07,937.28
2023-06-08,928.63
2023-06-09,940.69
2023-06-12,928.81
2023-06-13,925.75
2023-06-14,911.49
2023-06-15,911.0
2023-06-16,913.48
2023-06-19,897.49
2023-06-20,902.31
2023-06-21,907.46
2023-06-22,911.5
2023-06-23,902.67
2023-06-26,907.01
2023-06-27,909.11
2023-06-28,905.34
2023-06-29,903.35
2023-06-30,906.97
2023-07-03,913.87
2023-07-04,905.57
2023-07-05,900.92
2023-07-06,900.05
2023-07-07,905.51
2023-07-10,919.11
2023-07-11,922.82
2023-07-12,923.25
2023-07-13,932.92
2023-07-14,925.22
2023-07-17,911.99
2023-07-18,912.87
2023-07-19,908.31
2023-07-20,906.03
2023-07-21,904.37
